name,operator,lat,lon,power_kw,connectors,date_created,date_updated
RMIT - City Campus,Unknown,-37.80624795114712,144.96401596254236,75.0,4.0,2023-07-07 13:00:00+00:00,2023-07-10 02:38:00+00:00
Tesla Supercharger South Melbourne,Unknown,-37.83227022248282,144.9609633571161,250.0,6.0,2025-02-11 02:09:00+00:00,2025-03-04 03:29:00+00:00
Collingwood Library,Unknown,-37.80446562888998,144.99324369474311,50.0,4.0,2022-01-15 03:38:00+00:00,2023-07-10 02:38:00+00:00
Abbotsford Supercharger ,Unknown,-37.809084572181135,144.99588508312934,250.0,8.0,2025-07-05 02:41:00+00:00,2025-07-08 02:44:00+00:00
JET Charge Office,Unknown,-37.82858393063794,144.93443851602245,80.0,3.0,2023-07-07 13:07:00+00:00,2023-07-10 02:38:00+00:00
Evie Richmond Library,Unknown,-37.825531454943984,144.99874510755922,50.0,4.0,2025-01-16 22:44:00+00:00,2025-01-23 07:44:00+00:00
650 Church Street Building 5,Unknown,-37.8318863645605,144.995866953165,120.0,4.0,2014-12-11 06:04:00+00:00,2019-03-22 18:48:00+00:00
Woolworths Fishermans Bend,Unknown,-37.8313475403691,144.92982685129846,50.0,2.0,2025-01-17 00:53:00+00:00,2025-01-23 07:44:00+00:00
Ampcharge Barkly Square,Unknown,-37.776585212413124,144.9639271835984,150.0,8.0,2025-01-09 22:59:00+00:00,2025-01-23 07:44:00+00:00
ENGIE - VIctoria Gardens,Unknown,-37.81230000849669,145.01104431147348,100.0,2.0,2023-07-06 23:14:00+00:00,2023-07-10 02:38:00+00:00
Brunswick EV Hub,Unknown,-37.77388003814904,144.961800631472,80.0,4.0,2021-11-01 06:40:00+00:00,2023-07-05 13:16:00+00:00
The Parade Ascot Vale Car Park,Unknown,-37.772547,144.915133,50.0,4.0,2022-12-22 23:23:00+00:00,2023-07-10 02:38:00+00:00
Moonee Ponds,Unknown,-37.765834,144.923586,120.0,6.0,2020-03-12 06:55:00+00:00,2020-03-12 06:55:00+00:00
Swinburne University - TC Building,Unknown,-37.820026,145.040303,50.0,2.0,2022-12-24 21:04:00+00:00,2022-12-24 21:04:00+00:00
City of Stonnington,Unknown,-37.8558376330929,145.0295635713096,50.0,2.0,2023-07-07 07:11:00+00:00,2023-07-10 02:38:00+00:00
Malvern Central,Unknown,-37.862429,145.027453,50.0,4.0,2022-12-24 21:13:00+00:00,2023-07-06 20:53:00+00:00
