name,distance_km,speed_kmph,price_basis,need_kwh,charger_kw,duration_h_base,duration_h_travel,duration_h_effective,best_price_start,best_price_mean_c_per_kwh,best_price_cost_AUD,best_price_emissions_kg,best_intensity_start,best_intensity_mean_g_per_kwh,best_intensity_cost_AUD,best_intensity_emissions_kg,cost_delta_AUD,emissions_delta_kg
CBD,0.8,40.0,spot_c_per_kwh,10.0,7.0,1.43,0.04,1.47,2025-09-14 12:00:00+10:00,-4.455,-0.05,4.75,2025-09-08 11:00:00+10:00,233.2,0.26,2.33,-0.31,2.42
CBD,0.8,40.0,retailA_c_per_kwh,10.0,7.0,1.43,0.04,1.47,2025-09-14 12:00:00+10:00,12.545,1.65,4.75,2025-09-08 11:00:00+10:00,233.2,1.96,2.33,-0.31,2.42
CBD,0.8,40.0,retailB_c_per_kwh,10.0,7.0,1.43,0.04,1.47,2025-09-14 12:00:00+10:00,12.545,1.65,4.75,2025-09-08 11:00:00+10:00,233.2,1.96,2.33,-0.31,2.42
CBD,0.8,40.0,spot_c_per_kwh,10.0,11.0,0.91,0.04,0.95,2025-09-14 12:00:00+10:00,-4.455,-0.05,4.75,2025-09-08 11:00:00+10:00,232.8,0.26,2.33,-0.31,2.42
CBD,0.8,40.0,retailA_c_per_kwh,10.0,11.0,0.91,0.04,0.95,2025-09-14 12:00:00+10:00,12.545,1.65,4.75,2025-09-08 11:00:00+10:00,232.8,1.96,2.33,-0.31,2.42
CBD,0.8,40.0,retailB_c_per_kwh,10.0,11.0,0.91,0.04,0.95,2025-09-14 12:00:00+10:00,12.545,1.65,4.75,2025-09-08 11:00:00+10:00,232.8,1.96,2.33,-0.31,2.42
CBD,0.8,40.0,spot_c_per_kwh,10.0,50.0,0.2,0.04,0.24,2025-09-14 12:00:00+10:00,-4.455,-0.05,4.75,2025-09-08 11:00:00+10:00,233.5,0.26,2.34,-0.31,2.41
CBD,0.8,40.0,retailA_c_per_kwh,10.0,50.0,0.2,0.04,0.24,2025-09-14 12:00:00+10:00,12.545,1.65,4.75,2025-09-08 11:00:00+10:00,233.5,1.96,2.34,-0.31,2.41
CBD,0.8,40.0,retailB_c_per_kwh,10.0,50.0,0.2,0.04,0.24,2025-09-14 12:00:00+10:00,12.545,1.65,4.75,2025-09-08 11:00:00+10:00,233.5,1.96,2.34,-0.31,2.41
CBD,0.8,40.0,spot_c_per_kwh,20.0,7.0,2.86,0.04,2.9,2025-09-14 11:00:00+10:00,-4.371,-0.47,9.29,2025-09-08 10:00:00+10:00,235.6,0.13,4.71,-0.6,4.58
